fid,left,bottom,right,top,lng_cen,lat_cen,area,h_mean,aspect_major,slope_mean,aq_zone,clim_zone,pop,dusaf,dsf2,dsf3,dsf4,dsf5,dsf11,dsf12,dsf13,dsf14,siarl,siarl2,siarl9,siarl12,soil,soil1,soil2,soil4,soil5,soil7,soil8,soil9,soil_text,soil_text1,soil_text2,soil_text3,soil_text4,soil_text5,soil_text6,soil_text7,soil_text8,soil_text9,soil_text10,int_prim,int_prim_sec,int_sec,highway,prim_road,sec_road,farms,farm_pigs,farm_poultry,farm_sheep,ndvi,temp_2m,prec,press,n_wind,e_wind,soil_moist,no2_s5p,so2_s5p,aod_055,aod_047,uvai,co_s5p,ch2o_s5p,o3_s5p,ch4_s5p,nh3_cams,no_cams,co_cams,dust_cams,pm10_cams,pm25_cams,no2_cams,nmvocs_cams,so2_cams,o3_cams,temp_st,prec_st,air_hum_st,wind_speed_st,rad_glob_st,wind_dir_st,pm25_st,nox_st,no2_st,o3_st,nh3_st,so2_st,pm10_st,co_st,pm25_lcs,pm10_lcs,hum_lcs,temp_lcs,no2_lcs,co2_lcs,nh3_lcs,co_lcs,co_int,nh3_int,no2_int,nox_int,o3_int,pm10_int,pm25_int,so2_int,air_hum_int,prec_int,rad_glob_int,temp_int,wind_speed_int,geometry
1,8.448,45.276,8.514000000000001,45.342,8.481000000000002,45.30899999999999,1.780350810546875,115.27886325242288,315.7292785644531,0.3826227440527173,2.0,4.0,1838.1453857421875,2.0,0.8426326747652072,0.0819340633004298,0.0,0.0676143257290933,0.0078189362052695,0.0,0.0,0.0,12.0,0.0,0.0165270018621973,0.419925512104283,7.0,0.0,0.0,0.0,0.0,0.9561086832604978,0.0438913167395021,0.0,0.0,0.0,0.0,0.0,0.041895837577239,0.0,0.0,0.1434100631493176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2038480203253904,0.0,0.0,0.0,0.0,0.0,2206.6954022988507,281.57667806413434,0.0007714137344549,101219.12836371528,-0.3215659260749817,-0.348639170328776,0.3518184555901422,8.334877041042347e-05,0.0007834259691385,102.34651360544218,147.4566326530612,-0.9880005555035212,0.0377776133200752,0.0001057613594508,0.1471458717839045,1884.0712016231205,6.93238639831543,1.4843335151672363,330.19106038411456,1.118602434794108,41.379801432291664,33.27783711751302,19.51335906982422,30.97024790445964,2.575400352478028,44.128519694010414,,,,,,,,,,,,,,,,,,,,,,,0.3416550396278618,3.716754702431183,20.762297348951293,23.959579863461848,41.05205047549005,41.51266078824232,39.59493787051081,4.089342523402883,82.19833127743385,0.0084660444961851,149.9975698334584,6.195225779468702,2.1633364386124674,"MULTIPOLYGON (((8.448 45.275999999999996, 8.448 45.342, 8.514000000000001 45.342, 8.514000000000001 45.27599999999998, 8.448 45.275999999999996)))"
2,8.514000000000001,45.144,8.580000000000002,45.21,8.547000000000002,45.17699999999999,13.64261895263672,102.24767119596598,146.46585083007812,0.5833639975955336,2.0,4.0,1156.989013671875,2.0,0.8521665200820874,0.0830215967946838,0.0012684452262288,0.0421342714746408,0.0092739177171894,0.0073487735756865,0.0029570995797908,0.0018293755496921,12.0,0.0364920192250637,0.1690796890761289,0.3463478312466623,7.0,0.0,0.0,0.0011616650532429,0.0,0.997676669893514,0.0011616650532429,0.0,0.0,0.0,0.0,0.0,0.1761815552488003,0.0,0.0,0.1827877473213698,0.0,0.0,0.0,0.0,0.2198991271701675,0.4397982543403351,0.0,0.2996432159550808,0.7315685133483922,0.0028097828952666,0.0,0.0,0.0,2509.84661117717,281.75117055196614,0.0005379786280337,101321.92784288197,-0.1842652833650982,-0.2532012576148623,0.3503052999102879,7.959151583203276e-05,0.0007796677590505,100.39158163265306,144.65986394557822,-0.965927492649091,0.0374183487331974,4.32250124350828e-05,0.1471467749007746,1890.3483717164584,6.180321163601345,1.166108979119195,322.79041883680554,1.0523300170898438,39.22944132486979,31.93676079644097,15.214486016167534,29.085835774739586,2.18122312757704,47.06579928927951,,,,,,,,,,,,,,,,,,,,,,,0.3085706414167073,5.379316984223989,18.270120550154758,20.110238078794648,42.24759856378138,42.307147400713305,39.68771779331069,3.889368659950316,82.48279207473509,0.0061744346055923,150.62942860452387,6.334853705908198,2.374716822467716,"MULTIPOLYGON (((8.514000000000001 45.144, 8.514000000000001 45.21, 8.580000000000002 45.20999999999999, 8.580000000000002 45.144000000000005, 8.514000000000001 45.144)))"
3,8.514000000000001,45.21,8.580000000000002,45.276,8.547000000000002,45.243,26.83287937402344,109.31106233959368,39.649070739746094,0.5588384892939049,2.0,4.0,616.2735595703125,2.0,0.877877460673909,0.0595482834913273,0.0,0.0282470952975405,0.0272026176217444,0.0034979959084595,0.0013899587531748,0.0022365882538442,12.0,0.0006144298858696,0.0514124207001428,0.5920646380239935,7.0,0.0,0.0,0.0,0.0,0.9942895212715332,0.0057104787284667,0.0,4.0,0.0,0.0,0.0,0.4982959877508685,0.0,0.0,0.1933189548724872,0.0,0.0,0.0,0.0,0.5962833796916105,0.2608739786150795,0.0,0.5025776205890428,0.7518143975988552,0.0018782406152851,0.0,0.0,0.0,2432.4780023781213,281.699662277758,0.0006430039639655,101341.87094095453,-0.2291050861481906,-0.3233257388852351,0.3506403834371069,8.555623405093009e-05,0.0005028212884414,88.8862973760933,128.1749271137026,-1.019170054408141,0.0377768363796128,8.805799343252067e-05,0.146937481413615,1891.25607634974,6.628702799479167,1.2504215240478516,327.46677652994794,1.0591200987497966,39.59669748942057,32.25074768066406,16.390675862630207,29.55407969156901,2.4376770655314126,46.08388264973959,,,,,,,,,,,,,,,,,,,,,,,0.3267450102179706,4.650417563497413,19.73791939054964,22.863047485029767,40.85782849543644,42.06124133009994,39.46832059698305,4.059033287903646,82.11733295848475,0.0072734124957102,149.1434684665813,6.406665916185047,2.2275453751468426,"MULTIPOLYGON (((8.514000000000001 45.21, 8.514000000000001 45.27599999999998, 8.580000000000002 45.275999999999996, 8.580000000000002 45.20999999999999, 8.514000000000001 45.21)))"
4,8.514000000000001,45.276,8.580000000000002,45.342,8.547000000000002,45.30899999999999,32.66394505834961,121.30177726576218,24.886978149414062,0.4443552417170158,2.0,4.0,3165.40869140625,2.0,0.8628897665927634,0.0312612669932769,0.0,0.0274812672216756,0.0477704200742948,0.0203356483180877,0.0020254077326037,0.0082362230672977,12.0,0.0003359086328518,0.0795108175020838,0.5634680700182884,7.0,0.0,0.0,0.0,0.0,0.9575862733757472,0.0424137266242529,0.0,4.0,0.0,0.0,0.0,0.565563917203221,0.0,0.0,0.3005253017603372,0.0,0.0,0.0,0.0,1.3776658000010022,1.8675025288902476,0.0,0.7193634653427169,0.7411102721614005,0.0039324531617189,0.0,0.0,0.0,3000.071264367816,281.59836661626423,0.0007513526775492,101283.8618706597,-0.2730985624449594,-0.395119137234158,0.3503000017196413,8.288005116600372e-05,0.0004763157069296,96.51895043731776,139.11078717201167,-1.0136089688749794,0.037842487395194,0.0001017029515568,0.1471016811581041,1889.534060303748,7.31534661187066,1.521530681186252,334.53502061631946,1.0940674675835504,40.92352294921875,32.96001180013021,19.33517795138889,30.578467475043404,2.7934358384874134,43.9393547905816,,,,,,,,,,,,,,,,,,,,,,,0.351418867145645,3.9238301944929703,21.437858396094303,26.05390390044333,39.50966354157322,41.710381123721085,39.09626801295639,4.117987476914529,81.56941167978637,0.0080920074971542,147.4357178360818,6.394092340163413,2.084741972529572,"MULTIPOLYGON (((8.514000000000001 45.27599999999998, 8.514000000000001 45.342, 8.580000000000002 45.342, 8.580000000000002 45.275999999999996, 8.514000000000001 45.27599999999998)))"
5,8.514000000000001,45.342,8.580000000000002,45.408,8.547000000000002,45.375,3.6660439294433593,127.96299162940028,180.57522583007807,0.1987984564838326,2.0,4.0,2366.263671875,2.0,0.9428088257804926,0.0396460357608846,0.0,0.0067643907310352,0.0093156156834731,0.0014651320441143,0.0,0.0,12.0,0.0,0.0318167010533174,0.7767401455098274,7.0,0.0,0.0,0.0,0.0,0.9489766777724892,0.0510233222275107,0.0,0.0,0.0,0.0,0.0,0.0905625505371375,0.0,0.0,0.008283965081932,0.0,0.0,0.0,0.0,0.2727735998929606,0.2727735998929606,0.0,0.4935992788651011,0.5308800770938953,0.0014159072527679,0.0,0.0,0.0,3005.5315101070155,281.1571316037859,0.0009670850649585,100658.4755859375,-0.3141133397344559,-0.4409607781304253,0.3444122151722984,9.391174879185048e-05,0.0014086521270995,98.1505102040816,141.5127551020408,-1.0554623125728262,0.0372986300871535,6.644707015771488e-05,0.1477285993700491,1889.228510029327,7.838869730631511,1.908763461642795,342.5903049045139,1.1421696345011394,42.11493598090278,33.62120225694444,22.541113959418404,32.14593844943576,3.064401626586914,41.62883843315972,,,,,,,,,,,,,,,,,,,,,,,0.3733002519141002,3.240827679673563,22.90585218329992,28.736810504684243,38.29329043177407,41.212054649737794,38.55267510046679,4.044288590246389,80.85261609926336,0.0087785301614256,145.6393630291566,6.2960498423254405,1.9473111393513007,"MULTIPOLYGON (((8.514000000000001 45.342, 8.514000000000001 45.408, 8.580000000000002 45.408, 8.580000000000002 45.342, 8.514000000000001 45.342)))"
6,8.514000000000001,45.738,8.580000000000002,45.804,8.547000000000002,45.77100000000001,8.762770874511718,209.77321612892484,0.0,3.35474891546232,3.0,2.0,20479.97265625,5.0,0.0649574052292945,0.1737131151775972,0.0076770881771018,0.5944698219924567,0.1355464986581811,0.0089717990098197,0.0002674520030027,0.0143968197525461,19.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.9846285226302306,0.0,0.0153714773697694,0.0,0.0,0.0,0.0,0.2329636025504782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.456476616504353,0.456476616504353,0.0,0.5863646129625559,0.7171897201500708,0.0,0.3423574623782648,0.1141191541260882,0.7988340788826178,4229.49540229885,279.5289116532894,0.0015698036232934,97504.09727315404,-0.3387152306617252,0.0997346718024775,0.3214837396496278,7.060182806709757e-05,0.001067173204776,129.7849454365079,198.89433916423715,-1.4445155361199609,0.0359913842841604,0.0001035952783137,0.1482876536474849,,4.702006445990668,1.1197132534450955,320.20220269097223,1.4872542487250433,37.027377658420136,29.946058485243057,18.055769178602432,30.086422390407986,1.6634961234198675,46.6341552734375,,0.0089820359281437,,,,,,,,,,,,,,,,,,,,,0.379928138131083,0.4190435041180091,23.866690606702964,30.51297993626949,41.197572549507264,38.38565476582937,33.17283084938361,3.13950299914429,71.65781534167121,0.0089878557748263,138.2072326440956,5.637402609208982,1.6209520563064868,"MULTIPOLYGON (((8.514000000000001 45.738000000000014, 8.514000000000001 45.804, 8.580000000000002 45.80399999999999, 8.580000000000002 45.73800000000001, 8.514000000000001 45.738000000000014)))"
7,8.514000000000001,45.804,8.580000000000002,45.87,8.547000000000002,45.837,1.2120791342773438,193.8804976851852,0.0,0.1405577517397434,3.0,2.0,5331.3681640625,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.8511153601019757,0.0,0.1488846398980242,0.0,0.0077839132459583,0.0,0.0,0.0243330450402501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4672.638525564804,279.1784062655875,0.0014092777952974,96782.65665524022,-0.3087859982265637,0.1506950136214968,0.3089781240000476,7.595597239095271e-05,0.0006671273078049,82.62130192502534,127.83267735665696,-1.4840069226208856,0.0359927752218237,9.149257334903486e-05,0.1483788704608386,,4.201443990071614,0.9752241770426432,296.2207302517361,1.65155209435357,33.53322007921007,27.01763576931424,15.143761528862846,26.17039320203993,1.490790155198839,50.17106119791666,,,,,,,,,,,,,,,,,,,,,,,0.3831930579792692,0.2493738245504846,24.202481628323664,31.07573960525217,43.27382559138424,37.22205403691562,32.766014167670505,3.004749522249741,67.57264742784376,0.0072403822877033,138.8554266400414,6.193452611602558,1.7035960905423502,"MULTIPOLYGON (((8.514000000000001 45.804, 8.514000000000001 45.87, 8.580000000000002 45.870000000000005, 8.580000000000002 45.80399999999999, 8.514000000000001 45.804)))"
8,8.514000000000001,45.87,8.580000000000002,45.936,8.547000000000002,45.903,5.774622341064453,,,,3.0,2.0,15305.6982421875,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0277435470441298,0.0,0.0,0.0093255620316403,0.0,0.0,0.0,0.0,0.1168859283930058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2741.9940546967896,278.3542724942404,0.0011242968333459,95076.1763547867,-0.2570085326830545,0.2375441657172308,0.3307624241662403,7.01370341686985e-05,0.0003838773120169,52.30238095238095,65.95178571428572,-1.4887009826677549,0.0355489465428847,6.797425738351329e-05,0.1480230106428716,,3.3964417775472007,0.790124257405599,267.1775309244792,1.6472020149230957,28.75018819173177,23.12060801188151,12.06333033243815,21.94238535563151,1.3082213401794434,53.741719563802086,,,,,,,,,,,,,,,,,,,,,,,0.3823755244610836,0.1879477956414796,24.722868039518275,31.651452382014444,45.19049086873555,36.27698394869834,32.6818778738489,2.8629392914219323,63.6252625375574,0.0059323753767414,140.0599694261242,6.663695956132645,1.7723786599896527,"MULTIPOLYGON (((8.514000000000001 45.87, 8.514000000000001 45.93600000000002, 8.580000000000002 45.936, 8.580000000000002 45.870000000000005, 8.514000000000001 45.87)))"
9,8.580000000000002,45.012,8.646000000000003,45.07799999999999,8.613000000000001,45.045,1.9707826494140623,87.09307918410974,172.6531219482422,0.3051894284460411,2.0,4.0,8185.416015625,2.0,0.5856565656565657,0.3005791245791245,0.0047811447811447,0.1043905723905724,0.0045925925925925,0.0,0.0,0.0,4.0,0.0047393364928909,0.1868088467614534,0.0,7.0,0.0,0.0,0.2047429213942553,0.0,0.7776755596442809,0.0175815189614637,0.0,0.0,0.0,0.0,0.0,0.0517017961125235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5074126262971272,0.5074126262971272,4177.766666666666,281.5732685724894,0.0002787073357314,100607.70710875496,0.0876124293085128,-0.1157883538140191,0.3463788865104554,6.800512005456951e-05,0.0005780578851893,131.49708454810497,188.52721088435376,-1.1232542519794404,0.0372418249203242,5.55148881907161e-05,0.1468439314312746,1884.049855612786,6.534553527832031,1.078193770514594,313.665771484375,1.02878909640842,38.01967027452257,31.02439371744792,15.573693169487846,27.725953843858505,2.4371435377332897,47.32750108506944,,,,,,,,,,,,,,,,,,,,,,,0.3165432580912609,7.11503542228052,16.928303508831338,17.715090879269233,44.04421219502672,42.01477616676067,39.036300755473725,3.3894325722113665,81.73075466994548,0.0036620929523346,151.16338764254152,6.205476141700992,2.6180171313744154,"MULTIPOLYGON (((8.580000000000002 45.012, 8.580000000000002 45.07799999999998, 8.646 45.07799999999998, 8.646 45.012, 8.580000000000002 45.012)))"
10,8.580000000000002,45.07799999999999,8.646000000000003,45.144,8.613000000000001,45.11099999999999,19.444967447021483,95.54868746383292,62.26390838623047,0.3880172472588858,2.0,4.0,1397.963134765625,2.0,0.8822104549284486,0.0707005802204426,0.0055446331321628,0.0120222771768542,0.0232567698093561,0.003405969351756,0.0005315833099281,0.0023277320710513,12.0,0.0159335679811157,0.0986363732164309,0.390077349463612,7.0,0.0,0.0,0.0015328019619865,0.0,0.9984671980380136,0.0,0.0,0.0,0.0,0.0,0.0,0.3343673067454455,0.1696044641391761,0.0,0.0,0.0,0.0,0.0,0.0,0.2057087527093138,3.1884856669943646,0.0,0.2496060399980236,1.0782924717752715,0.0014534527260198,0.1028543763546569,0.2057087527093138,0.4114175054186277,3597.291111111111,281.75306457943384,0.0003452543324616,101068.0285373264,-0.0459828707906934,-0.188026852077908,0.3465337753295898,6.854090249901388e-05,0.0005905586289402,123.99173955296403,178.19339164237124,-1.0641130125892266,0.0381505521055681,9.435837461094756e-05,0.1470747418077389,1886.6722463649107,6.65945561726888,1.1119005415174696,317.60674370659723,1.0365445878770616,38.20734659830729,31.18429904513889,15.29573737250434,28.02081298828125,2.275875515407986,47.01982625325521,,,,,,,,,,,,,,,,,,,,,,,0.2955839407131295,6.481713201936556,17.141114674964896,18.63392761085474,42.49485115025087,42.50837600660512,39.10539718895201,3.571279927902779,81.88110182849194,0.0042778753154794,149.4154046730727,6.355537241533049,2.461803246050517,"MULTIPOLYGON (((8.580000000000002 45.07799999999998, 8.580000000000002 45.144000000000005, 8.646 45.144000000000005, 8.646 45.07799999999998, 8.580000000000002 45.07799999999998)))"
